Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bulgaria,2.833901121,3.269920074,3.835891818,4.259780927,5.262987916,5.645651942,5.905436715,6.638369161,7.112214403,7.869932816,7.213424372,7.532552676,7.715656701,7.983550221,8.210958036,8.377877479,8.347946173,8.628766462,9.236529547,8.968132006,8.744238667,9.03643153,10.10727531,10.10833662,9.749961471,9.992783476,10.21729994,10.214134,9.718843491,9.771261867,8.437435373,6.789563048,6.455379545,6.570814841,6.338535346,6.506015239,6.583898792,6.420784816,6.127081409,5.395448629,5.30343792,5.765911005,5.567066952,6.159226487,6.1138857,6.251491715,6.442554699,6.973842656,6.677289648,5.772090672,6.0644175,6.759360769,6.175840637,5.48098688,5.845841977,6.225976043,5.855926256,6.223901903,5.854773434
Bahrain,3.544434799,10.54896694,9.191856301,6.710612882,8.742027908,6.554083614,3.384305342,5.124747526,5.500902059,6.175827643,12.19418458,13.79841678,16.06655873,23.05586427,21.45687314,21.58596458,23.17188965,24.63866358,24.01073986,23.72611171,21.91659558,22.7888779,25.4916039,20.75602786,22.6107339,24.30514892,25.40382903,25.45773429,26.14679986,24.39935687,21.65641314,20.30359266,23.45712527,24.37468762,24.32722575,24.01995395,24.48756699,24.23826789,25.2730582,24.27184466,23.8937121,23.49652355,23.42410969,23.06384421,21.60641854,23.28047803,23.47606433,22.21205417,22.22232191,20.86787756,20.93702452,20.36532403,20.43937345,21.87024012,22.61852459,22.30559688,21.18119531,20.33362404,19.59297584
"Bahamas, The",3.74962568,4.74624519,5.995986523,5.557805874,8.118110766,9.399207483,7.46521748,11.17247954,10.28575841,10.62607372,15.19833979,38.71675849,36.49207536,43.37314,39.91791146,43.69844093,33.51384375,49.30263825,32.79664685,33.64530489,37.9430692,13.01121581,10.27576732,8.959994669,8.070452736,6.440491263,5.906597774,5.848749306,6.224020109,7.734934734,6.946964996,7.202871954,9.510277114,7.747219302,7.395350355,7.423825483,6.937108247,6.159456854,7.811424639,7.583408997,7.180123807,7.038576687,7.410850395,7.185674639,6.773431841,6.218292863,6.102129099,6.135387552,6.13943203,17.21967963,5.860211418,6.730017826,10.01152425,8.470375475,7.069139966,6.333511491,5.794831222,5.631972841,5.86046391
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.370319006,4.906942041,3.772138283,3.285167225,0.802738048,0.880114096,1.113053568,2.272441362,2.881367461,2.81031471,3.718833774,3.663945867,3.872969783,3.949838644,4.136343663,4.31037688,4.756438986,5.020209733,5.529716767,5.511323106,5.624105716,6.484260645,6.091586842,6.167789854,5.597187449,5.718264797,6.597243038,6.758099426,6.781131607
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.799784081,9.440847557,8.592404072,7.446039652,6.323457514,5.643515794,5.755905512,5.836710487,5.683781905,5.483338649,5.309826737,5.211234794,5.247554419,5.364024331,5.731671447,5.844422266,6.122901129,5.998356022,6.325576709,6.016768059,6.476946674,6.15949969,6.317294267,6.33108166,6.276841095,5.784217191,5.810640682,5.921082,6.2540208
Belize,0.47795108,0.387222809,0.715387301,0.622363101,0.818296481,0.794770072,0.737772982,1.073677766,0.884642226,1.137588141,0.990399725,1.145983413,1.240098465,1.13446873,1.172948479,1.32080682,1.302442598,1.445492372,1.556776399,1.479235963,1.322889928,1.242444366,1.137722298,1.106077525,1.07489039,1.15623522,1.211023241,1.304136337,1.392871307,1.638918412,1.759493266,2.249707015,2.573022375,2.327640734,2.231268501,2.222630241,1.684919966,2.076046485,1.954414371,1.715631917,1.819578666,2.077877272,1.981805501,1.892899031,1.591227994,1.656107513,1.750544042,1.772391491,1.62960935,4.640002542,1.736622579,1.93800797,2.041414079,1.446311472,1.386664252,1.828629691,1.764391326,1.729758499,1.775127848
Bermuda,3.551373874,3.868483516,3.383712446,3.151928721,4.124437628,3.586487026,3.954607843,4.090115385,4.220509434,3.667,4.133709091,4.231153846,4.668321033,7.906542751,8.30911985,8.648584906,8.822857143,8.515131086,7.936044776,8.588141264,7.981946223,7.0608901,7.142347022,8.064384051,7.863938465,7.92718549,7.349081594,9.888710263,11.06127136,13.27426454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0.274752178,0.279281536,0.289271932,0.312894364,0.374319912,0.374066477,0.410061863,0.449587674,0.506849761,0.580638187,0.554465607,0.6682913,0.762784918,0.72253274,0.718814732,0.811644429,0.895691917,0.857088209,0.940600148,0.867339031,0.836585643,0.841264974,0.747988423,0.723162979,0.667484291,0.667594741,0.598657913,0.625507231,0.654789784,0.743098803,0.827404692,0.822938916,0.952391991,1.069349503,1.210693963,1.091529183,1.043800008,1.043155783,1.063388187,0.964022814,0.950314019,0.919554269,0.941343653,1.022926581,1.038698235,1.090735668,1.187809119,1.259620034,1.339305415,1.403165874,1.496726359,1.610699983,1.662221709,1.760514116,1.883899311,1.877691189,1.958878597,1.987875656,2.000327663
Brazil,0.649885857,0.662130535,0.701775494,0.706049512,0.699884334,0.676455201,0.750374992,0.751887365,0.856553524,0.909093429,0.985788081,1.052857819,1.145237632,1.29536175,1.370088081,1.40990567,1.413180657,1.449507777,1.53686272,1.59759916,1.550121144,1.390352265,1.3610983,1.28724351,1.275133155,1.33986352,1.440047603,1.47297773,1.457685267,1.462631956,1.330575227,1.353001626,1.352656787,1.37189196,1.396952923,1.490557743,1.597062891,1.683581162,1.712516222,1.744558457,1.788828844,1.803426195,1.767207182,1.701508643,1.775807036,1.775721997,1.774909381,1.84883594,1.938026863,1.809460643,2.032203816,2.111844515,2.266878111,2.401859521,2.499362016,2.347365731,2.143497524,2.164421504,2.041874199
Barbados,0.746148018,0.83873933,1.119222949,0.816172442,0.76595137,0.872297857,1.133880314,1.425515822,1.854822733,2.018704589,1.795931267,2.016068773,2.080046207,1.976241998,2.008551236,2.309025098,2.147614547,2.371689344,2.520879297,2.392660346,2.673375913,2.707223959,2.540133345,2.691339176,2.927939317,3.305537345,3.565497419,3.652616933,3.653264857,3.808609753,3.755753393,3.741714774,4.488569364,3.751861719,3.888362471,4.023237014,4.006785322,4.362692639,4.715334863,4.806714611,4.567034116,4.844143357,5.010551417,5.030419457,4.940370455,5.138969311,5.297774574,5.310350519,6.358369114,16.43502296,5.635679879,5.901331157,7.789973845,5.205878422,4.529096814,4.52112839,4.583656989,4.192447306,4.360870779
